[ INFO] 2017-03-03 20:07:54,624 [] [] FTP server started
[ INFO] 2017-03-03 20:10:38,197 [] [192.168.0.103] CREATED
[ INFO] 2017-03-03 20:10:38,427 [] [192.168.0.103] OPENED
[ INFO] 2017-03-03 20:10:38,439 [] [192.168.0.103] SENT: 220 Service ready for new user.

[ INFO] 2017-03-03 20:10:38,442 [] [192.168.0.103] RECEIVED: USER anonymous
[ INFO] 2017-03-03 20:10:38,444 [anonymous] [192.168.0.103] SENT: 331 Guest login okay, send your complete e-mail address as password.

[ INFO] 2017-03-03 20:10:38,444 [anonymous] [192.168.0.103] RECEIVED: PASS *****
[ WARN] 2017-03-03 20:10:38,448 [anonymous] [192.168.0.103] User failed to log in
[ WARN] 2017-03-03 20:10:38,948 [anonymous] [192.168.0.103] Login failure - anonymous
[ INFO] 2017-03-03 20:10:38,949 [anonymous] [192.168.0.103] SENT: 530 Authentication failed.

[ INFO] 2017-03-03 20:10:38,949 [anonymous] [192.168.0.103] RECEIVED: QUIT
[ INFO] 2017-03-03 20:10:38,958 [anonymous] [192.168.0.103] SENT: 221 Goodbye.

[ INFO] 2017-03-03 20:10:38,959 [anonymous] [192.168.0.103] CLOSED
[ INFO] 2017-03-03 20:10:52,400 [] [192.168.0.103] CREATED
[ INFO] 2017-03-03 20:10:52,401 [] [192.168.0.103] OPENED
[ INFO] 2017-03-03 20:10:52,402 [] [192.168.0.103] SENT: 220 Service ready for new user.

[ INFO] 2017-03-03 20:10:52,403 [] [192.168.0.103] RECEIVED: USER admin
[ INFO] 2017-03-03 20:10:52,404 [admin] [192.168.0.103] SENT: 331 User name okay, need password for admin.

[ INFO] 2017-03-03 20:10:52,404 [admin] [192.168.0.103] RECEIVED: PASS *****
[ WARN] 2017-03-03 20:10:52,404 [admin] [192.168.0.103] User failed to log in
[ WARN] 2017-03-03 20:10:52,905 [admin] [192.168.0.103] Login failure - admin
[ INFO] 2017-03-03 20:10:52,906 [admin] [192.168.0.103] SENT: 530 Authentication failed.

[ INFO] 2017-03-03 20:10:52,906 [admin] [192.168.0.103] RECEIVED: QUIT
[ INFO] 2017-03-03 20:10:52,908 [admin] [192.168.0.103] SENT: 221 Goodbye.

[ INFO] 2017-03-03 20:10:52,908 [admin] [192.168.0.103] CLOSED
[ INFO] 2017-03-03 20:32:36,285 [] [] FTP server started
[ INFO] 2017-03-03 20:32:55,140 [] [192.168.0.103] CREATED
[ INFO] 2017-03-03 20:32:55,235 [] [192.168.0.103] OPENED
[ INFO] 2017-03-03 20:32:55,246 [] [192.168.0.103] SENT: 220 Service ready for new user.

[ INFO] 2017-03-03 20:32:55,248 [] [192.168.0.103] RECEIVED: USER anonymous
[ INFO] 2017-03-03 20:32:55,250 [anonymous] [192.168.0.103] SENT: 331 Guest login okay, send your complete e-mail address as password.

[ INFO] 2017-03-03 20:32:55,250 [anonymous] [192.168.0.103] RECEIVED: PASS *****
[ WARN] 2017-03-03 20:32:55,254 [anonymous] [192.168.0.103] User failed to log in
[ WARN] 2017-03-03 20:32:55,755 [anonymous] [192.168.0.103] Login failure - anonymous
[ INFO] 2017-03-03 20:32:55,755 [anonymous] [192.168.0.103] SENT: 530 Authentication failed.

[ INFO] 2017-03-03 20:32:55,756 [anonymous] [192.168.0.103] RECEIVED: QUIT
[ INFO] 2017-03-03 20:32:55,762 [anonymous] [192.168.0.103] SENT: 221 Goodbye.

[ INFO] 2017-03-03 20:32:55,762 [anonymous] [192.168.0.103] CLOSED
[ INFO] 2017-03-03 20:33:03,096 [] [192.168.0.103] CREATED
[ INFO] 2017-03-03 20:33:03,096 [] [192.168.0.103] OPENED
[ INFO] 2017-03-03 20:33:03,098 [] [192.168.0.103] SENT: 220 Service ready for new user.

[ INFO] 2017-03-03 20:33:03,098 [] [192.168.0.103] RECEIVED: USER kedar
[ INFO] 2017-03-03 20:33:03,099 [kedar] [192.168.0.103] SENT: 331 User name okay, need password for kedar.

[ INFO] 2017-03-03 20:33:03,099 [kedar] [192.168.0.103] RECEIVED: PASS *****
[ WARN] 2017-03-03 20:33:03,100 [kedar] [192.168.0.103] User failed to log in
[ WARN] 2017-03-03 20:33:03,600 [kedar] [192.168.0.103] Login failure - kedar
[ INFO] 2017-03-03 20:33:03,600 [kedar] [192.168.0.103] SENT: 530 Authentication failed.

[ INFO] 2017-03-03 20:33:03,601 [kedar] [192.168.0.103] RECEIVED: QUIT
[ INFO] 2017-03-03 20:33:03,603 [kedar] [192.168.0.103] SENT: 221 Goodbye.

[ INFO] 2017-03-03 20:33:03,603 [kedar] [192.168.0.103] CLOSED
[ INFO] 2017-03-03 20:33:08,672 [] [192.168.0.103] CREATED
[ INFO] 2017-03-03 20:33:08,672 [] [192.168.0.103] OPENED
[ INFO] 2017-03-03 20:33:08,674 [] [192.168.0.103] SENT: 220 Service ready for new user.

[ INFO] 2017-03-03 20:33:08,675 [] [192.168.0.103] RECEIVED: USER my
[ INFO] 2017-03-03 20:33:08,676 [my] [192.168.0.103] SENT: 331 User name okay, need password for my.

[ INFO] 2017-03-03 20:33:08,676 [my] [192.168.0.103] RECEIVED: PASS *****
[ WARN] 2017-03-03 20:33:08,676 [my] [192.168.0.103] User failed to log in
[ WARN] 2017-03-03 20:33:09,176 [my] [192.168.0.103] Login failure - my
[ INFO] 2017-03-03 20:33:09,177 [my] [192.168.0.103] SENT: 530 Authentication failed.

[ INFO] 2017-03-03 20:33:09,177 [my] [192.168.0.103] RECEIVED: QUIT
[ INFO] 2017-03-03 20:33:09,178 [my] [192.168.0.103] SENT: 221 Goodbye.

[ INFO] 2017-03-03 20:33:09,178 [my] [192.168.0.103] CLOSED
[ INFO] 2017-03-04 10:41:25,386 [] [] FTP server started
[ INFO] 2017-03-04 10:41:42,421 [] [192.168.0.103] CREATED
[ INFO] 2017-03-04 10:41:42,614 [] [192.168.0.103] OPENED
[ INFO] 2017-03-04 10:41:42,625 [] [192.168.0.103] SENT: 220 Service ready for new user.

[ INFO] 2017-03-04 10:41:42,627 [] [192.168.0.103] RECEIVED: USER anonymous
[ INFO] 2017-03-04 10:41:42,628 [anonymous] [192.168.0.103] SENT: 331 Guest login okay, send your complete e-mail address as password.

[ INFO] 2017-03-04 10:41:42,628 [anonymous] [192.168.0.103] RECEIVED: PASS *****
[ WARN] 2017-03-04 10:41:42,633 [anonymous] [192.168.0.103] User failed to log in
[ WARN] 2017-03-04 10:41:43,134 [anonymous] [192.168.0.103] Login failure - anonymous
[ INFO] 2017-03-04 10:41:43,134 [anonymous] [192.168.0.103] SENT: 530 Authentication failed.

[ INFO] 2017-03-04 10:41:43,135 [anonymous] [192.168.0.103] RECEIVED: QUIT
[ INFO] 2017-03-04 10:41:43,142 [anonymous] [192.168.0.103] SENT: 221 Goodbye.

[ INFO] 2017-03-04 10:41:43,142 [anonymous] [192.168.0.103] CLOSED
[ INFO] 2017-03-04 10:41:47,393 [] [192.168.0.103] CREATED
[ INFO] 2017-03-04 10:41:47,394 [] [192.168.0.103] OPENED
[ INFO] 2017-03-04 10:41:47,395 [] [192.168.0.103] SENT: 220 Service ready for new user.

[ INFO] 2017-03-04 10:41:47,395 [] [192.168.0.103] RECEIVED: USER 
[ INFO] 2017-03-04 10:41:47,398 [] [192.168.0.103] SENT: 501 Syntax error in parameters or arguments.

[ INFO] 2017-03-04 10:41:47,398 [] [192.168.0.103] CLOSED
[ INFO] 2017-03-04 10:49:22,992 [] [] FTP server started
[ INFO] 2017-03-04 10:59:39,071 [] [] FTP server started
[ INFO] 2017-03-04 11:00:37,453 [] [] Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@50134894: display name [org.springframework.context.support.FileSystemXmlApplicationContext@50134894]; startup date [Sat Mar 04 11:00:37 IST 2017]; root of context hierarchy
[ INFO] 2017-03-04 11:00:37,531 [] [] Loading XML bean definitions from file [D:\Users\my\Desktop\FTP\res\conf\ftpd-typical.xml]
[ INFO] 2017-03-04 11:01:41,719 [] [] Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@50134894: display name [org.springframework.context.support.FileSystemXmlApplicationContext@50134894]; startup date [Sat Mar 04 11:01:41 IST 2017]; root of context hierarchy
[ INFO] 2017-03-04 11:01:41,781 [] [] Loading XML bean definitions from file [D:\Users\my\Desktop\FTP\res\conf\ftpd-typical.xml]
[ INFO] 2017-03-04 11:05:08,714 [] [] Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@50134894: display name [org.springframework.context.support.FileSystemXmlApplicationContext@50134894]; startup date [Sat Mar 04 11:05:08 IST 2017]; root of context hierarchy
[ INFO] 2017-03-04 11:05:08,776 [] [] Loading XML bean definitions from file [D:\Users\my\Desktop\FTP\res\conf\ftpd-typical.xml]
[ INFO] 2017-03-04 11:05:09,279 [] [] Bean factory for application context [org.springframework.context.support.FileSystemXmlApplicationContext@50134894]: org.springframework.beans.factory.support.DefaultListableBeanFactory@3ac3fd8b
[ INFO] 2017-03-04 11:05:09,295 [] [] Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@3ac3fd8b: defining beans [org.apache.ftpserver.listener.ListenerFactory#0,org.apache.ftpserver.usermanager.PropertiesUserManagerFactory#0,org.apache.ftpserver.FtpServerFactory#0,myServer]; root of factory hierarchy
[ INFO] 2017-03-04 11:05:09,545 [] [] FTP server started
[ INFO] 2017-03-04 11:07:22,142 [] [] Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@50134894: display name [org.springframework.context.support.FileSystemXmlApplicationContext@50134894]; startup date [Sat Mar 04 11:07:22 IST 2017]; root of context hierarchy
[ INFO] 2017-03-04 11:07:22,204 [] [] Loading XML bean definitions from file [D:\Users\my\Desktop\FTP\res\conf\ftpd-typical.xml]
